Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Louisiana Tech (CUSA),12,3-9,70,171,0.409
Arizona (Pac-12),12,9-3,66,161,0.410
Arizona St. (Pac-12),12,3-9,66,161,0.410
App State (Sun Belt),13,8-5,69,168,0.411
Washington St. (Pac-12),12,5-7,72,175,0.411
Syracuse (ACC),12,6-6,75,182,0.412
Purdue (Big Ten),12,4-8,68,165,0.412
Utah St. (Mountain West),12,6-6,76,184,0.413
San Diego St. (Mountain West),12,4-8,63,152,0.414
Nevada (Mountain West),12,2-10,61,147,0.415
Coastal Carolina (Sun Belt),12,7-5,66,158,0.418
Oklahoma St. (Big 12),13,9-4,78,185,0.422
Kansas (Big 12),12,8-4,66,156,0.423
Texas Tech (Big 12),12,6-6,75,177,0.424
South Carolina (SEC),12,5-7,78,182,0.429
UConn (FBS Independent),12,3-9,66,154,0.429
Georgia Tech (ACC),12,6-6,67,156,0.429
UTEP (CUSA),12,3-9,65,151,0.430
Southern California (Pac-12),12,7-5,73,169,0.432
Illinois (Big Ten),12,5-7,77,175,0.440
San Jose St. (Mountain West),12,7-5,70,159,0.440
Baylor (Big 12),12,3-9,67,152,0.441
Colorado St. (Mountain West),12,5-7,79,179,0.441
Kentucky (SEC),12,7-5,75,169,0.444
Middle Tenn. (CUSA),12,4-8,81,181,0.448
Louisiana (Sun Belt),12,6-6,79,176,0.449
BYU (Big 12),12,5-7,78,173,0.451
Georgia St. (Sun Belt),12,6-6,76,168,0.452
Hawaii (Mountain West),13,5-8,76,168,0.452
LSU (SEC),12,9-3,72,159,0.453
Massachusetts (FBS Independent),12,3-9,59,130,0.454
Wyoming (Mountain West),12,8-4,81,178,0.455
Western Mich. (MAC),12,4-8,72,158,0.456
North Texas (AAC),12,5-7,78,169,0.462
Colorado (Pac-12),12,4-8,77,165,0.467
Vanderbilt (SEC),12,2-10,77,164,0.470
Temple (AAC),12,3-9,78,166,0.470
Minnesota (Big Ten),12,5-7,76,161,0.472
Kent St. (MAC),12,1-11,75,158,0.475
Texas St. (Sun Belt),12,7-5,85,178,0.478
Houston (Big 12),12,4-8,78,161,0.484
UAB (AAC),12,4-8,78,158,0.494
ULM (Sun Belt),12,2-10,89,175,0.509
Stanford (Pac-12),12,3-9,79,154,0.513
Jacksonville St. (CUSA),12,8-4,62,189,0.328
James Madison (Sun Belt),12,11-1,66,189,0.349
Sam Houston (CUSA),12,3-9,62,167,0.371
