Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Southern U. (SWAC),13,8-5,910,6338,0.00,0,403.5
Morehead St. (Pioneer),12,5-7,857,5947,0.00,0,402.0
Tennessee St. (OVC),12,3-9,841,4801,0.00,0,400.1
Florida A&M (MEAC),11,9-2,760,4366,0.00,0,396.9
Towson (CAA),12,7-5,717,4291,0.00,0,396.1
South Dakota St. (MVFC),13,8-5,774,5450,0.00,0,393.8
Penn (Ivy League),10,5-5,694,3931,0.00,0,393.1
Idaho (Big Sky),12,5-7,861,4699,0.00,0,391.6
Chattanooga (SoCon),12,6-6,836,4678,0.00,0,389.8
Rhode Island (CAA),12,2-10,829,4664,0.00,0,388.7
Jackson St. (SWAC),12,4-8,862,4663,0.00,0,388.6
UAlbany (CAA),14,9-5,924,5429,0.00,0,387.8
Harvard (Ivy League),10,4-6,663,3875,0.00,0,387.5
Southern Utah (Big Sky),12,3-9,914,4647,0.00,0,387.2
McNeese (Southland),12,7-5,913,4620,0.00,0,385.0
North Dakota (FCS Independent),12,7-5,818,4607,0.00,0,383.9
Dartmouth (Ivy League),10,9-1,598,3824,0.00,0,382.4
Central Ark. (Southland),13,9-4,881,4961,0.00,0,381.6
Northwestern St. (Southland),12,3-9,888,4575,0.00,0,381.2
Tennessee Tech (OVC),12,6-6,893,4862,0.00,0,380.1
Murray St. (OVC),12,4-8,843,5013,0.00,0,379.0
Youngstown St. (MVFC),12,6-6,794,4538,0.00,0,378.2
Cal Poly (Big Sky),11,3-8,791,4140,0.00,0,376.4
Idaho St. (Big Sky),12,3-9,850,4502,0.00,0,375.2
Norfolk St. (MEAC),12,5-7,812,4495,0.00,0,374.6
Campbell (Big South),11,6-5,746,4110,0.00,0,373.6
Cornell (Ivy League),10,4-6,676,3715,0.00,0,371.5
Sacred Heart (NEC),12,7-5,795,4431,0.00,0,369.2
South Carolina St. (MEAC),11,8-3,741,4050,0.00,0,368.2
The Citadel (SoCon),12,6-6,866,4413,0.00,0,367.8
Southeast Mo. St. (OVC),13,9-4,859,4741,0.00,0,364.7
Eastern Ky. (OVC),12,7-5,851,4370,0.00,0,364.2
SFA (Southland),12,3-9,840,4080,0.00,0,363.1
Lamar University (Southland),12,4-8,877,5013,0.00,0,362.9
Richmond (CAA),12,5-7,742,4353,0.00,0,362.8
Charleston So. (Big South),12,6-6,842,4341,0.00,0,361.8
Saint Francis (PA) (NEC),12,6-6,796,4334,0.00,0,361.2
Mercer (SoCon),12,4-8,801,4306,0.00,0,358.8
Fordham (Patriot),12,4-8,787,4286,0.00,0,357.2
Jacksonville (Pioneer),12,3-9,740,4699,0.00,0,356.6
Northern Colo. (Big Sky),12,2-10,845,4256,0.00,0,354.7
Holy Cross (Patriot),13,7-6,838,4496,0.00,0,345.8
Indiana St. (MVFC),12,5-7,809,4149,0.00,0,345.8
Delaware (CAA),12,5-7,762,4146,0.00,0,345.5
Georgetown (Patriot),11,5-6,709,3778,0.00,0,343.5
Drake (Pioneer),11,6-5,707,3773,0.00,0,343.0
Duquesne (NEC),11,6-5,772,3767,0.00,0,342.5
William & Mary (CAA),12,5-7,803,4091,0.00,0,340.9
Weber St. (Big Sky),15,11-4,1007,5091,0.00,0,339.4
Marist (Pioneer),11,4-7,682,3707,0.00,0,337.0
New Hampshire (CAA),11,6-5,726,3706,0.00,0,336.9
ETSU (SoCon),12,3-9,742,4030,0.00,0,335.8
Lafayette (Patriot),12,4-8,783,4028,0.00,0,335.7
UT Martin (OVC),12,7-5,744,3984,0.00,0,332.0
Bethune-Cookman (MEAC),11,7-4,672,3591,0.00,0,326.5
Alabama St. (SWAC),11,5-6,747,3576,0.00,0,325.1
Western Caro. (SoCon),12,3-9,772,3900,0.00,0,325.0
Gardner-Webb (Big South),12,3-9,772,3860,0.00,0,321.7
Elon (CAA),11,5-6,715,3524,0.00,0,320.4
Morgan St. (MEAC),12,3-9,762,4450,0.00,0,315.9
Western Ill. (MVFC),12,1-11,848,3774,0.00,0,314.5
Lehigh (Patriot),11,4-7,745,3417,0.00,0,310.6
Butler (Pioneer),12,3-9,758,4412,0.00,0,309.2
N.C. Central (MEAC),12,4-8,796,3709,0.00,0,309.1
Howard (MEAC),12,2-10,835,3628,0.00,0,302.3
Illinois St. (MVFC),15,10-5,913,4500,0.00,0,300.0
Columbia (Ivy League),10,3-7,696,2974,0.00,0,297.4
UNI (MVFC),15,10-5,914,4441,0.00,0,296.1
Presbyterian (Big South),12,2-10,749,4052,0.00,0,293.9
Colgate (Patriot),12,4-8,777,3790,0.00,0,292.2
Robert Morris (NEC),12,7-5,682,3488,0.00,0,290.7
Missouri St. (MVFC),11,1-10,737,3126,0.00,0,284.2
Delaware St. (MEAC),12,2-10,752,3409,0.00,0,284.1
Bucknell (Patriot),11,3-8,761,3095,0.00,0,281.4
Eastern Ill. (OVC),12,1-11,857,3316,0.00,0,276.3
Bryant (NEC),12,4-8,790,3230,0.00,0,269.2
Valparaiso (Pioneer),12,1-11,800,3110,0.00,0,259.2
Mississippi Val. (SWAC),11,2-9,770,2981,0.00,0,254.2
Wagner (NEC),12,1-11,704,2872,0.00,0,239.3
LIU (NEC),10,0-10,576,2001,0.00,0,200.1
North Ala. (FCS Independent),11,4-7,675,4068,0.00,0,369.8
Merrimack (NEC),11,6-5,745,5044,0.00,0,368.5
