Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Central Mich. (MAC),13,9-4,82,726,55.85
Oklahoma (Big 12),13,11-2,87,733,56.38
Colorado (Pac-12),12,4-8,76,677,56.42
Virginia (ACC),12,6-6,77,681,56.75
Middle Tenn. (C-USA),13,7-6,86,740,56.92
Maryland (Big Ten),13,7-6,88,742,57.08
New Mexico (Mountain West),12,3-9,83,685,57.08
Syracuse (ACC),12,5-7,84,692,57.67
Marshall (C-USA),13,7-6,87,750,57.69
California (Pac-12),12,5-7,74,694,57.83
Mississippi St. (SEC),13,7-6,99,760,58.46
Ohio (MAC),12,3-9,74,703,58.58
Texas St. (Sun Belt),12,4-8,70,705,58.75
Western Mich. (MAC),13,8-5,89,766,58.92
Old Dominion (C-USA),13,6-7,88,767,59.0
Ohio St. (Big Ten),13,11-2,85,770,59.23
Missouri (SEC),13,6-7,83,775,59.62
Fla. Atlantic (C-USA),12,5-7,85,717,59.75
New Mexico St. (FBS Independent),12,2-10,83,722,60.17
Tennessee (SEC),13,7-6,89,788,60.62
Miami (OH) (MAC),13,7-6,87,790,60.77
Massachusetts (FBS Independent),12,1-11,75,734,61.17
TCU (Big 12),12,5-7,85,737,61.42
Houston (AAC),14,12-2,91,860,61.43
Duke (ACC),12,3-9,78,740,61.67
Florida St. (ACC),12,5-7,83,750,62.5
Southern Miss. (C-USA),12,3-9,98,750,62.5
Arkansas (SEC),13,9-4,104,819,63.0
Oregon St. (Pac-12),13,7-6,89,820,63.08
Miami (FL) (ACC),12,7-5,87,763,63.58
Rice (C-USA),12,4-8,89,763,63.58
Michigan St. (Big Ten),13,11-2,90,831,63.92
Pittsburgh (ACC),14,11-3,94,895,63.93
NC State (ACC),12,9-3,89,774,64.5
UCLA (Pac-12),12,8-4,85,774,64.5
Oregon (Pac-12),14,10-4,103,905,64.64
San Jose St. (Mountain West),12,5-7,87,782,65.17
Alabama (SEC),15,13-2,107,990,66.0
Liberty (FBS Independent),13,8-5,92,865,66.54
North Texas (C-USA),13,6-7,93,889,68.38
Colorado St. (Mountain West),12,3-9,85,822,68.5
San Diego St. (Mountain West),14,12-2,103,961,68.64
North Carolina (ACC),13,6-7,95,900,69.23
Arizona (Pac-12),12,1-11,105,845,70.42
Florida (SEC),13,6-7,105,923,71.0
Bowling Green (MAC),12,4-8,96,853,71.08
Kent St. (MAC),14,7-7,110,998,71.29
Tulsa (AAC),13,7-6,97,930,71.54
Fresno St. (Mountain West),13,10-3,100,941,72.38
UTEP (C-USA),13,7-6,110,972,74.77
Southern California (Pac-12),12,4-8,96,900,75.0
Ole Miss (SEC),13,10-3,118,983,75.62
Arizona St. (Pac-12),13,8-5,114,1020,78.46
UAB (C-USA),13,9-4,115,1117,85.92
Toledo (MAC),13,7-6,130,1172,90.15
