Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Ball St. (MAC),12,5-7,947,4781,5.05,40,40,398.4
Utah St. (Mountain West),13,6-7,902,5189,5.75,46,49,399.2
Georgia St. (Sun Belt),12,4-8,836,4792,5.73,44,49,399.3
Georgia Tech (ACC),12,5-7,866,4812,5.56,37,42,401.0
Washington St. (Pac-12),13,7-6,895,5230,5.84,36,38,402.3
East Carolina (AAC),13,8-5,861,5256,6.10,42,44,404.3
South Carolina (SEC),13,8-5,926,5261,5.68,47,48,404.7
Arkansas St. (Sun Belt),12,3-9,835,4861,5.82,48,50,405.1
UCLA (Pac-12),13,9-4,930,5267,5.66,43,45,405.2
Tennessee (SEC),13,11-2,991,5269,5.32,36,37,405.3
Akron (MAC),12,2-10,813,4874,6.00,47,51,406.2
Wake Forest (ACC),13,8-5,931,5284,5.68,43,45,406.5
BYU (FBS Independent),13,8-5,904,5305,5.87,47,48,408.1
TCU (Big 12),15,13-2,1072,6123,5.71,54,55,408.2
Middle Tenn. (CUSA),13,8-5,962,5323,5.53,43,46,409.5
Florida (SEC),13,6-7,903,5343,5.92,46,48,411.0
West Virginia (Big 12),12,5-7,820,4947,6.03,46,50,412.2
Tulsa (AAC),12,5-7,846,4971,5.88,41,47,414.2
Nebraska (Big Ten),12,4-8,907,4973,5.48,40,41,414.4
Michigan St. (Big Ten),12,5-7,860,4998,5.81,40,41,416.5
Coastal Carolina (Sun Belt),13,9-4,842,5434,6.45,50,51,418.0
Bowling Green (MAC),13,6-7,938,5455,5.82,51,54,419.6
Arizona St. (Pac-12),12,3-9,841,5058,6.01,45,46,421.5
Houston (AAC),13,8-5,928,5483,5.91,50,52,421.8
Southern California (Pac-12),14,11-3,909,5935,6.53,54,54,423.9
Fla. Atlantic (CUSA),12,5-7,845,5097,6.03,40,41,424.8
Texas Tech (Big 12),13,8-5,941,5532,5.88,41,45,425.5
Ohio (MAC),14,10-4,971,5977,6.16,48,49,426.9
ULM (Sun Belt),12,4-8,829,5133,6.19,46,53,427.8
California (Pac-12),12,4-8,883,5143,5.82,42,43,428.6
SMU (AAC),13,7-6,934,5605,6.00,55,56,431.2
Kent St. (MAC),12,5-7,898,5199,5.79,42,42,433.2
Stanford (Pac-12),12,3-9,794,5209,6.56,47,50,434.1
Oklahoma St. (Big 12),13,7-6,992,5664,5.71,47,47,435.7
North Carolina (ACC),14,9-5,995,6111,6.14,56,57,436.5
Hawaii (Mountain West),13,3-10,863,5696,6.60,49,55,438.2
Old Dominion (Sun Belt),12,3-9,927,5311,5.73,36,37,442.6
Indiana (Big Ten),12,4-8,916,5391,5.89,49,53,449.2
FIU (CUSA),12,4-8,897,5425,6.05,55,58,452.1
North Texas (CUSA),14,7-7,1059,6438,6.08,50,55,459.9
Oklahoma (Big 12),13,6-7,1043,5993,5.75,49,49,461.0
Vanderbilt (SEC),12,5-7,796,5536,6.95,54,56,461.3
Arkansas (SEC),13,7-6,936,6047,6.46,50,51,465.2
Arizona (Pac-12),12,5-7,851,5612,6.59,58,60,467.7
Louisiana Tech (CUSA),12,3-9,863,5625,6.52,54,58,468.8
Kansas (Big 12),13,6-7,992,6100,6.15,58,58,469.2
Charlotte (CUSA),12,3-9,820,5805,7.08,57,62,483.8
Ga. Southern (Sun Belt),13,6-7,975,6341,6.50,48,49,487.8
Colorado (Pac-12),12,1-11,850,6117,7.20,70,72,509.8
South Fla. (AAC),12,1-11,835,6199,7.42,62,64,516.6
James Madison (Sun Belt),11,8-3,672,3184,4.74,25,28,289.5
