Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
South Fla. (AAC),12,1-11,52,20,199,62,5.2
UNLV (Mountain West),12,5-7,56,12,248,62,5.2
Tulsa (AAC),12,5-7,39,44,205,61,5.1
Louisiana (Sun Belt),13,6-7,47,38,249,66,5.1
Kansas St. (Big 12),14,10-4,61,18,305,70,5.0
Western Ky. (CUSA),14,9-5,52,36,301,70,5.0
SMU (AAC),13,7-6,56,18,308,65,5.0
Nebraska (Big Ten),12,4-8,47,26,232,60,5.0
Virginia (ACC),10,3-7,37,26,211,50,5.0
Maryland (Big Ten),13,8-5,59,10,260,64,4.9
UConn (FBS Independent),13,6-7,44,40,270,64,4.9
Tulane (AAC),14,12-2,58,20,227,68,4.9
Baylor (Big 12),13,6-7,50,26,253,63,4.8
Memphis (AAC),13,7-6,47,32,210,63,4.8
Akron (MAC),12,2-10,43,30,201,58,4.8
Fla. Atlantic (CUSA),12,5-7,43,30,174,58,4.8
UAB (CUSA),13,7-6,47,30,224,62,4.8
Kansas (Big 12),13,6-7,48,26,226,61,4.7
Rice (CUSA),13,5-8,47,26,245,60,4.6
UCLA (Pac-12),13,9-4,47,26,269,60,4.6
Louisiana Tech (CUSA),12,3-9,43,24,229,55,4.6
Northwestern (Big Ten),12,1-11,42,26,213,55,4.6
North Texas (CUSA),14,7-7,50,26,257,63,4.5
Arizona (Pac-12),12,5-7,41,26,177,54,4.5
Eastern Mich. (MAC),13,9-4,46,24,233,58,4.5
Miami (OH) (MAC),13,6-7,46,24,239,58,4.5
Purdue (Big Ten),14,8-6,53,18,284,62,4.4
California (Pac-12),12,4-8,38,30,201,53,4.4
South Carolina (SEC),13,8-5,45,24,258,57,4.4
Army West Point (FBS Independent),12,6-6,32,40,187,52,4.3
Kentucky (SEC),13,7-6,40,30,231,55,4.2
Arizona St. (Pac-12),12,3-9,39,22,182,50,4.2
Hawaii (Mountain West),13,3-10,41,26,198,54,4.2
Colorado (Pac-12),12,1-11,41,16,166,49,4.1
Ga. Southern (Sun Belt),13,6-7,36,34,174,53,4.1
Oregon (Pac-12),13,10-3,40,26,234,53,4.1
BYU (FBS Independent),13,8-5,39,22,225,50,3.8
North Carolina (ACC),14,9-5,36,30,191,51,3.6
Minnesota (Big Ten),13,9-4,39,16,169,47,3.6
James Madison (Sun Belt),11,8-3,69,52,337,95,8.6
