Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Maryland (Big Ten),13,8-5,17,385,0,22.65
TCU (Big 12),15,13-2,48,1093,0,22.77
Syracuse (ACC),13,7-6,26,593,0,22.81
North Carolina (ACC),14,9-5,27,623,0,23.07
Indiana (Big Ten),12,4-8,18,417,0,23.17
UAB (CUSA),13,7-6,26,607,0,23.35
Buffalo (MAC),13,7-6,24,561,1,23.38
Kansas (Big 12),13,6-7,23,539,0,23.43
Georgia St. (Sun Belt),12,4-8,14,329,0,23.50
LSU (SEC),14,10-4,30,706,0,23.53
Rice (CUSA),13,5-8,27,636,0,23.56
Oregon St. (Pac-12),13,10-3,34,805,1,23.68
Kentucky (SEC),13,7-6,14,334,0,23.86
New Mexico St. (FBS Independent),13,7-6,34,819,1,24.09
Memphis (AAC),13,7-6,36,896,1,24.89
Virginia (ACC),10,3-7,13,324,0,24.92
Oklahoma (Big 12),13,6-7,18,449,0,24.94
Rutgers (Big Ten),12,4-8,23,577,2,25.09
Oregon (Pac-12),13,10-3,25,630,0,25.20
Colorado (Pac-12),12,1-11,10,255,0,25.50
SMU (AAC),13,7-6,33,857,0,25.97
Virginia Tech (ACC),11,3-8,13,353,1,27.15
Boston College (ACC),12,3-9,21,608,1,28.95
ULM (Sun Belt),12,4-8,22,649,1,29.50
Texas A&M (SEC),12,5-7,6,200,1,33.33
James Madison (Sun Belt),11,8-3,19,362,0,19.05
