Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Texas Southern (SWAC),11,2-9,66,752,68.36
Northern Colo. (Big Sky),11,2-9,92,757,68.82
Southeast Mo. St. (OVC),13,9-4,89,895,68.85
Jacksonville St. (OVC),13,9-4,100,904,69.54
Prairie View (SWAC),11,5-6,92,785,71.36
Jackson St. (SWAC),10,5-5,71,718,71.80
N.C. A&T (MEAC),12,10-2,105,890,74.17
Tennessee St. (OVC),9,4-5,83,679,75.44
Mississippi Val. (SWAC),11,1-10,81,834,75.82
Austin Peay (OVC),11,5-6,91,841,76.45
UT Martin (OVC),11,2-9,94,843,76.64
Savannah St. (MEAC),10,2-8,85,776,77.60
Northwestern St. (Southland),11,5-6,100,861,78.27
Southern U. (SWAC),11,7-4,85,861,78.27
Hampton (FCS Independent),10,7-3,88,789,78.90
Maine (CAA),14,10-4,120,1120,80.00
Stetson (Pioneer),10,8-2,81,812,81.20
Morgan St. (MEAC),11,4-7,105,895,81.36
Delaware St. (MEAC),11,3-8,95,906,82.36
N.C. Central (MEAC),11,5-6,94,906,82.36
Ark.-Pine Bluff (SWAC),11,2-9,86,909,82.64
Morehead St. (Pioneer),11,3-8,105,918,83.45
SFA (Southland),10,2-8,87,838,83.80
Alcorn (SWAC),13,9-4,117,1092,84.00
Rhode Island (CAA),11,6-5,91,934,84.91
UIW (Southland),11,6-5,98,941,85.55
Alabama St. (SWAC),11,4-7,109,943,85.73
Alabama A&M (SWAC),11,6-5,97,955,86.82
Florida A&M (MEAC),11,6-5,101,964,87.64
Southeastern La. (Southland),11,4-7,113,992,90.18
Grambling (SWAC),11,6-5,123,1101,100.09
North Ala. (FCS Independent),10,7-3,94,790,79.00
