Scoring Off Rank,Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
78,Wisconsin (Big Ten),12,6-6,41,39,0,0,11,0,318,26.5
79,UNLV (Mountain West),12,5-7,37,34,2,0,18,1,316,26.3
80,Troy (Sun Belt),13,11-2,42,40,0,0,16,0,340,26.2
81,Arizona St. (Pac-12),12,3-9,40,34,3,0,11,0,313,26.1
82,New Mexico St. (FBS Independent),12,6-6,41,38,0,0,7,1,307,25.6
83,Missouri (SEC),12,6-6,35,31,1,0,21,0,306,25.5
84,Illinois (Big Ten),12,8-4,35,33,1,0,20,0,305,25.4
85,NC State (ACC),12,8-4,33,31,0,0,25,0,304,25.3
85,Rice (C-USA),12,5-7,39,35,1,0,11,0,304,25.3
87,Arkansas St. (Sun Belt),12,3-9,35,31,1,0,17,3,300,25.0
88,Auburn (SEC),12,5-7,35,31,1,0,18,0,297,24.8
88,Central Mich. (MAC),12,4-8,40,27,6,0,6,0,297,24.8
90,Vanderbilt (SEC),12,5-7,39,36,2,0,7,0,295,24.6
91,Charlotte (C-USA),12,3-9,41,36,1,0,3,0,293,24.4
91,Michigan St. (Big Ten),12,5-7,40,31,2,0,6,0,293,24.4
91,UTEP (C-USA),12,5-7,32,31,1,0,22,1,293,24.4
94,Southern Miss. (Sun Belt),12,6-6,34,32,0,0,17,2,291,24.2
95,Marshall (Sun Belt),12,8-4,36,33,0,1,13,0,290,24.2
96,California (Pac-12),12,4-8,36,31,2,0,12,0,287,23.9
97,Bowling Green (MAC),12,6-6,36,32,4,0,10,0,286,23.8
98,Miami (FL) (ACC),12,5-7,33,32,1,0,17,0,283,23.6
99,Ball St. (MAC),12,5-7,33,28,1,0,17,0,279,23.2
99,Utah St. (Mountain West),12,6-6,35,32,1,0,11,1,279,23.2
99,Indiana (Big Ten),12,4-8,34,27,2,0,14,1,279,23.2
102,Texas A&M (SEC),12,5-7,33,31,1,0,14,0,273,22.8
103,Nebraska (Big Ten),12,4-8,35,34,0,0,9,0,271,22.6
104,ULM (Sun Belt),12,4-8,34,32,1,0,10,0,268,22.3
105,Kentucky (SEC),12,7-5,32,25,0,0,16,0,265,22.1
106,Navy (AAC),12,4-8,32,26,2,0,13,1,263,21.9
106,Temple (AAC),12,3-9,32,28,1,0,13,1,263,21.9
108,Akron (MAC),12,2-10,32,28,0,0,13,1,261,21.8
109,San Diego St. (Mountain West),12,7-5,29,29,0,0,17,1,256,21.3
109,Stanford (Pac-12),12,3-9,29,24,2,0,18,0,256,21.3
111,Texas St. (Sun Belt),12,4-8,30,28,0,0,15,0,253,21.1
112,Wyoming (Mountain West),12,7-5,27,25,1,0,20,0,249,20.8
113,Miami (OH) (MAC),12,6-6,27,25,0,0,18,1,243,20.2
114,Iowa St. (Big 12),12,4-8,29,27,1,0,13,0,242,20.2
115,UConn (FBS Independent),12,6-6,29,26,1,0,12,0,238,19.8
116,Hawaii (Mountain West),13,3-10,30,27,1,0,16,0,257,19.8
117,Old Dominion (Sun Belt),12,3-9,29,28,1,0,10,0,234,19.5
118,Virginia Tech (ACC),11,3-8,27,23,0,0,9,0,212,19.3
119,Western Mich. (MAC),12,5-7,27,21,2,0,13,1,228,19.0
120,Nevada (Mountain West),12,2-10,27,25,0,0,13,0,226,18.8
121,FIU (C-USA),12,4-8,29,23,2,0,7,1,224,18.7
122,Iowa (Big Ten),12,7-5,23,22,0,0,17,2,215,17.9
123,Boston College (ACC),12,3-9,27,24,0,0,9,0,213,17.8
124,Rutgers (Big Ten),12,4-8,25,23,0,0,12,0,209,17.4
125,Georgia Tech (ACC),12,5-7,24,20,0,0,14,0,206,17.2
126,Virginia (ACC),10,3-7,20,17,0,0,11,0,170,17.0
127,Colorado (Pac-12),12,1-11,22,20,0,0,11,0,185,15.4
128,Northwestern (Big Ten),12,1-11,21,18,0,0,7,0,165,13.8
129,Colorado St. (Mountain West),12,3-9,19,14,0,0,10,0,158,13.2
130,New Mexico (Mountain West),12,2-10,17,16,0,0,13,0,157,13.1
131,Massachusetts (FBS Independent),12,1-11,16,13,1,0,13,0,150,12.5
